year,LSP,TP
1981,22.329264,24.61104
1982,18.013126,19.020597
1983,22.054308,28.056074
1984,22.662945,24.590832
1985,16.631464,17.513182
1986,24.275223,25.84366
1987,17.883413,17.93
1988,17.913408,18.278444
1989,24.939371,27.922373
1990,25.937199,27.071264
1991,18.212278,18.700686
1992,15.087943,15.365083
1993,28.34583,29.822645
1994,18.678236,20.45152
1995,15.412199,16.822834
1996,27.665258,27.954142
1997,16.615715,18.224262
1998,25.081102,28.640999
1999,23.467718,27.779158
2000,16.997204,20.0434
2001,17.792355,19.458435
2002,11.311879,11.856888
2003,14.733935,15.637828
2004,22.520493,23.751966
2005,27.55665,31.123463
2006,19.757113,22.345882
2007,27.135096,28.703045
2008,16.204441,19.07301
2009,20.726313,23.600164
2010,21.516077,23.076218
2011,21.380535,22.298706
2012,24.79255,26.074097
2013,18.799252,21.053448
2014,22.529062,23.110546
2015,24.54788,26.216785
2016,31.799019,32.07366
2017,14.805033,16.91669
2018,19.140482,20.432272
